Block (x, y) -> (dx, dy, SAD)
Block (40, 50) -> (0, -8, 0)
Block (41, 50) -> (8, -8, 1020)
Block (42, 50) -> (8, -8, 612)
Block (37, 51) -> (-8, -8, 1020)
Block (38, 51) -> (-8, -8, 1428)
Block (39, 51) -> (8, -8, 4080)
Block (83, 91) -> (0, -8, 0)
Block (84, 91) -> (0, -8, 0)
Block (85, 91) -> (0, -8, 0)
Block (86, 91) -> (0, -8, 0)
Block (87, 91) -> (0, -8, 0)
Block (82, 92) -> (-8, 0, 700)
Block (83, 92) -> (-8, 0, 150)
Block (84, 92) -> (-8, 0, 350)
Block (87, 92) -> (8, 0, 650)
Block (88, 92) -> (-8, -8, 400)
Block (89, 92) -> (0, -8, 0)
Block (71, 93) -> (0, -8, 450)
Block (72, 93) -> (-8, 0, 550)
Block (73, 93) -> (-8, 0, 700)
Block (75, 93) -> (8, 0, 1000)
Block (76, 93) -> (8, 0, 950)
Block (77, 93) -> (0, -8, 500)
Block (78, 93) -> (0, -8, 0)
Block (79, 93) -> (0, -8, 150)
Block (89, 93) -> (8, 0, 100)
Block (90, 93) -> (8, 0, 50)
Block (91, 93) -> (0, -8, 0)
Block (78, 94) -> (8, 0, 450)
Block (79, 94) -> (8, -8, 450)
Block (90, 94) -> (0, -8, 450)
Block (91, 94) -> (0, -8, 50)
Block (92, 94) -> (0, -8, 0)
Block (93, 94) -> (0, -8, 0)
Block (94, 94) -> (0, -8, 0)
Block (95, 94) -> (0, -8, 0)
Block (96, 94) -> (0, -8, 0)
Block (67, 95) -> (0, -8, 0)
Block (68, 95) -> (8, -8, 350)
Block (91, 95) -> (0, -8, 650)
Block (96, 95) -> (8, 0, 550)
Block (97, 95) -> (8, 0, 150)
Block (98, 95) -> (0, -8, 0)
Block (97, 96) -> (8, 0, 0)
Block (98, 96) -> (8, 0, 350)
Block (99, 96) -> (0, -8, 0)
Block (64, 97) -> (8, -8, 50)
Block (99, 97) -> (0, -8, 100)
Block (100, 97) -> (0, -8, 0)
Block (64, 98) -> (8, -8, 550)
Block (65, 98) -> (8, -8, 0)
Block (99, 98) -> (0, -8, 800)
Block (100, 98) -> (8, -8, 0)
Block (101, 98) -> (0, -8, 0)
Block (35, 99) -> (0, -8, 0)
Block (36, 99) -> (0, -8, 0)
Block (37, 99) -> (0, -8, 0)
Block (64, 99) -> (8, 8, 450)
Block (100, 99) -> (8, 0, 750)
Block (101, 99) -> (8, 0, 650)
Block (102, 99) -> (8, 0, 250)
Block (103, 99) -> (0, -8, 0)
Block (33, 100) -> (-8, 0, 700)
Block (34, 100) -> (-8, 0, 150)
Block (35, 100) -> (-8, 0, 500)
Block (37, 100) -> (8, 0, 950)
Block (38, 100) -> (8, 0, 600)
Block (39, 100) -> (0, -8, 150)
Block (40, 100) -> (0, -8, 0)
Block (64, 100) -> (0, -8, 950)
Block (65, 100) -> (0, -8, 0)
Block (102, 100) -> (8, 0, 0)
Block (103, 100) -> (8, 0, 300)
Block (104, 100) -> (0, -8, 0)
Block (23, 101) -> (-8, 0, 600)
Block (24, 101) -> (-8, 0, 450)
Block (25, 101) -> (-8, 0, 550)
Block (26, 101) -> (8, 0, 1150)
Block (27, 101) -> (8, 0, 900)
Block (28, 101) -> (0, -8, 750)
Block (29, 101) -> (0, -8, 50)
Block (30, 101) -> (0, -8, 50)
Block (39, 101) -> (8, 0, 150)
Block (40, 101) -> (8, 0, 200)
Block (41, 101) -> (0, -8, 0)
Block (65, 101) -> (8, -8, 200)
Block (104, 101) -> (0, -8, 150)
Block (105, 101) -> (0, -8, 0)
Block (41, 102) -> (0, -8, 400)
Block (42, 102) -> (0, -8, 0)
Block (43, 102) -> (0, -8, 0)
Block (44, 102) -> (0, -8, 0)
Block (45, 102) -> (0, -8, 0)
Block (46, 102) -> (0, -8, 0)
Block (47, 102) -> (0, -8, 0)
Block (63, 102) -> (8, -8, 150)
Block (64, 102) -> (8, 0, 200)
Block (104, 102) -> (0, -8, 150)
Block (105, 102) -> (8, -8, 100)
Block (19, 103) -> (0, -8, 0)
Block (46, 103) -> (8, 0, 600)
Block (47, 103) -> (8, 0, 400)
Block (48, 103) -> (8, 0, 0)
Block (49, 103) -> (0, -8, 0)
Block (63, 103) -> (8, -8, 500)
Block (105, 103) -> (8, -8, 700)
Block (48, 104) -> (8, 0, 150)
Block (49, 104) -> (0, -8, 200)
Block (50, 104) -> (0, -8, 0)
Block (63, 104) -> (8, -8, 450)
Block (105, 104) -> (0, 8, 200)
Block (16, 105) -> (8, -8, 200)
Block (17, 105) -> (8, 0, 150)
Block (49, 105) -> (0, -8, 200)
Block (50, 105) -> (8, -8, 0)
Block (63, 105) -> (8, 0, 750)
